,0
2007-03-20,29.190001
2007-03-21,29.25
2007-03-22,28.18
2007-03-23,27.450001
2007-03-26,27.32
2007-03-27,27.07
2007-03-28,27.4
2007-03-29,27.07
2007-03-30,27.1
2007-04-02,27.24
2007-04-03,27.209999
2007-04-05,27.290001
2007-04-09,27.6
2007-04-27,29.0
2007-04-30,29.139999
2007-05-01,28.459999
2007-05-02,28.290001
2007-05-03,28.57
2007-05-04,28.719999
2007-05-07,28.450001
2007-06-18,29.620001
2007-06-19,29.290001
2007-06-20,29.42
2007-06-21,29.26
2007-06-22,29.950001
2007-06-25,29.85
2007-06-26,30.120001
2007-06-27,29.790001
2007-07-02,30.09
2007-07-03,29.6
2007-07-05,29.67
2007-07-06,29.83
2007-07-09,29.559999
2007-07-10,29.459999
2007-07-11,29.6
2007-07-12,29.83
2007-07-13,30.309999
2007-07-16,30.049999
2007-07-17,29.940001
2007-07-18,29.780001
2007-07-19,29.959999
2007-07-20,30.0
2007-07-23,30.25
2007-07-24,30.139999
2007-07-25,30.1
2007-07-26,29.889999
2007-07-27,29.52
2007-07-30,28.940001
2007-07-31,28.98
2007-08-01,28.639999
2007-08-02,28.77
2007-08-03,28.780001
2007-08-06,28.620001
2007-08-07,29.969999
2007-08-09,28.27
2007-08-10,26.459999
2007-08-13,28.25
2007-10-05,31.469999
2007-10-08,31.58
2007-10-09,31.790001
2007-10-10,32.259998
2007-10-11,32.450001
2007-10-12,32.529999
2007-10-15,32.48
2007-10-16,31.969999
2007-10-17,31.93
2007-10-18,32.07
2007-10-19,32.689999
2007-10-22,31.299999
2007-10-23,31.200001
2007-10-24,31.290001
2007-10-25,32.200001
2007-10-26,31.459999
2007-10-29,31.389999
2007-10-30,31.200001
2007-10-31,31.200001
2007-11-01,31.76
2007-11-02,32.009998
2007-11-05,32.27
2007-11-06,32.380001
2007-11-07,31.84
2007-11-08,31.23
2007-11-09,30.049999
2007-11-12,29.92
2007-11-13,30.6
2007-11-14,30.440001
2007-11-15,29.41
2007-11-16,29.73
2007-11-19,30.200001
2007-11-20,29.85
2007-11-21,29.17
2007-11-23,29.0
2007-11-26,28.91
2007-11-27,28.610001
2007-11-28,29.040001
2007-11-29,29.82
2007-11-30,30.0
