,0
2006-04-03,0.0
2006-08-16,6.17147463168
2006-08-17,-82.8518395583
2006-08-18,96.9453373725
2006-08-21,-312.454440477
2006-08-22,-227.067595909
2006-08-23,-336.442794518
2006-08-24,242.434245872
2006-08-25,294.873840795
2006-08-28,-582.125751131
2006-08-29,-2842.4535312
2006-08-30,-2142.76532995
2006-08-31,-2867.54802985
2006-09-01,-3035.14487393
2006-09-05,-2586.92249102
2006-09-06,-3725.7315455
2006-09-07,-2532.61705223
2006-09-08,-1691.80783048
2006-09-11,-1541.93637911
2006-09-12,321.715534545
2006-09-13,2999.28680098
2006-09-14,10394.3907573
2006-09-15,13218.4355791
2006-09-18,15545.0149363
2006-09-19,20482.5076515
2006-09-20,8886.11302457
2006-09-21,503.050418457
2006-09-22,7895.5091057
2006-09-25,10597.0956752
2006-09-26,14063.4373115
2006-09-27,17406.5560628
2006-09-28,4791.84088969
2006-09-29,5327.40995292
2006-10-02,-760.096914289
2006-10-03,-2649.60289121
2006-10-04,8511.2915154
2006-10-05,41857.7848292
2006-10-06,30612.2471021
2006-10-09,77263.5798088
2006-10-10,98214.7082694
2006-10-11,80416.2406637
2006-10-12,89754.1519464
2006-10-13,89430.9524485
2006-10-16,86871.2376647
2006-10-17,59599.8447703
2006-10-18,64056.0106726
2006-10-19,55063.5499675
2006-10-20,195568.616663
2006-10-23,212111.388508
2006-10-24,265280.389252
2006-10-25,269949.927879
2006-10-26,306047.558217
2006-10-27,291082.385681
2006-10-30,252992.75636
2006-10-31,265454.200226
2006-11-01,273297.939016
2006-11-02,206857.428142
2006-11-03,232318.680214
2006-11-06,244374.06723
2006-11-07,265285.668712
2006-11-08,223473.153085
2006-11-09,254056.808397
2006-11-10,235548.806981
2006-11-13,238566.1263
2006-11-14,287637.470819
2006-11-15,382881.021614
2006-11-16,383914.050687
2006-11-17,378726.632962
2006-11-20,392886.72568
2006-11-21,387108.793478
2006-11-22,414477.652014
2006-11-24,398047.206193
2006-11-27,391243.78351
2006-11-28,341432.78544
2006-11-29,383851.112454
2006-11-30,305871.57341
2006-12-01,320867.311874
2006-12-04,283145.351226
2006-12-05,315124.041743
2006-12-06,314779.403378
2006-12-07,348371.687976
2006-12-08,249886.458471
2006-12-11,281259.254481
2006-12-12,270749.247343
2006-12-13,283923.638428
2006-12-14,230047.352597
2006-12-15,256789.346474
2006-12-18,245449.040161
2006-12-19,220658.289439
2006-12-20,215207.882959
2006-12-21,215581.914698
2006-12-22,199181.865155
2006-12-26,193610.256022
2006-12-27,214354.33383
2006-12-28,258919.517653
2006-12-29,217891.595047
2007-01-03,248525.013938
2007-01-04,270800.269806
2007-01-05,373568.76562
2007-01-08,414851.98172
2007-01-09,392629.507633
2007-01-10,384701.793181
2007-01-11,498681.123024
2007-01-12,554197.20765
2007-01-16,607105.455703
2007-01-17,565412.908318
2007-01-18,469357.485311
2007-01-19,408535.134665
2007-01-22,462508.098349
2007-01-23,340743.289125
2007-01-24,379793.002477
2007-01-25,569288.807158
2007-01-26,445680.576912
2007-01-29,532639.944447
2007-01-30,458655.935212
2007-01-31,498241.147199
2007-02-01,622059.087217
2007-02-02,317344.363045
2007-02-05,259039.062269
2007-02-06,133078.758439
2007-02-07,203131.604256
2007-02-08,133705.429916
2007-02-09,175272.643356
2007-02-12,44606.4258305
2007-02-13,32962.5677308
2007-02-14,43490.7472312
2007-02-15,95102.6296807
2007-02-16,80432.6074096
2007-02-20,123444.889752
2007-02-21,134426.175068
2007-02-22,190535.011424
2007-02-23,171926.592566
2007-02-26,147299.08925
2007-02-27,31081.3045396
2007-02-28,-16291.1272877
2007-03-01,-75122.6012877
2007-03-02,-60639.9509321
2007-03-05,-142551.813263
2007-03-06,263.630388042
2007-03-07,139330.74245
2007-03-08,107966.010208
2007-03-09,93350.7995768
2007-03-12,36163.2330092
2007-03-13,23738.7161205
2007-03-14,-27891.4252458
2007-03-15,4086.67640643
2007-03-16,-14508.7493415
2007-03-19,-37395.9078486
2007-03-20,-17171.0060128
2007-03-21,-30431.1802346
2007-03-22,88640.3824467
2007-03-23,156885.172776
2007-03-26,137732.634457
2007-03-27,164251.77795
2007-03-28,147439.157671
2007-03-29,174915.116963
2007-03-30,137030.471297
2007-04-02,114672.538554
2007-04-03,186463.322162
2007-04-04,284389.14782
2007-04-05,258370.92947
2007-04-09,276459.961292
2007-04-10,207996.011243
2007-04-11,192934.431155
2007-04-12,160110.093366
2007-04-13,206818.216543
2007-04-16,203757.50863
2007-04-17,259134.260349
2007-04-18,243434.854912
2007-04-19,273903.893843
2007-04-20,491557.232724
2007-04-23,375415.698884
2007-04-24,353775.850866
2007-04-25,361394.758443
2007-04-26,369059.803449
2007-04-27,384431.649061
2007-04-30,389098.218396
2007-05-01,316405.670289
2007-05-02,254862.575449
2007-05-03,226681.134045
2007-05-04,271564.994828
2007-05-07,291298.861361
2007-05-08,220773.663786
2007-05-09,220019.761834
2007-05-10,228149.661336
2007-05-11,188845.065153
2007-05-14,226667.710402
2007-05-15,200574.698867
2007-05-16,213504.232871
2007-05-17,284680.715273
2007-05-18,286805.316618
2007-05-21,268026.849749
2007-05-22,302319.393068
2007-05-23,353803.917257
2007-05-24,306786.538799
2007-05-25,337848.709946
2007-05-29,388330.333245
2007-05-30,381839.989954
2007-05-31,523812.643506
2007-06-01,526727.92381
2007-06-04,498675.565778
2007-06-05,594715.819909
2007-06-06,630682.917972
2007-06-07,659025.407102
2007-06-08,605273.104377
2007-06-11,596370.137355
2007-06-12,535203.69618
2007-06-13,509427.083943
2007-06-14,502946.276195
2007-06-15,543168.54545
2007-06-18,512454.466476
2007-06-19,594437.599588
2007-06-20,633408.766346
2007-06-21,551034.558438
2007-06-22,604332.921537
2007-06-25,716657.917209
2007-06-26,742849.395892
2007-06-27,688114.716019
2007-06-28,698887.942274
2007-06-29,707700.991811
2007-07-02,710954.024141
2007-07-03,766461.396282
2007-07-05,782282.906777
2007-07-06,808113.488789
2007-07-09,818362.222523
2007-07-10,817998.207198
2007-07-11,813939.059356
2007-07-12,819755.782521
2007-07-13,829606.733652
2007-07-16,843826.061193
2007-07-17,857276.942102
2007-07-18,851918.795771
2007-07-19,856715.451989
2007-07-20,585738.378628
2007-07-23,627444.054155
2007-07-24,557426.460901
2007-07-25,606013.299274
2007-07-26,574206.574512
2007-07-27,579965.46586
2007-07-30,590576.027548
2007-07-31,635500.870756
2007-08-01,575661.639976
2007-08-02,587413.633557
2007-08-03,584100.455628
2007-08-06,574155.95629
2007-08-07,586141.938861
2007-08-08,605929.553901
2007-08-09,615511.2131
2007-08-10,589070.552302
2007-08-13,606604.066956
2007-08-14,594306.991822
2007-08-15,578830.431906
2007-08-16,549636.839028
2007-08-17,564855.328194
2007-08-20,572844.655653
2007-08-21,562057.870495
2007-08-22,596508.40732
2007-08-23,611339.06743
2007-08-24,602331.537933
2007-08-27,609043.471935
2007-08-28,600924.978914
2007-08-29,595448.53095
2007-08-30,598351.37983
2007-08-31,598763.112463
2007-09-04,599246.269418
2007-09-05,602342.194209
2007-09-06,602669.880886
2007-09-07,596081.858781
2007-09-10,596717.526855
2007-09-11,595309.551832
2007-09-12,598566.803843
2007-09-13,601440.118249
2007-09-14,600455.110419
2007-09-17,604780.250564
2007-09-18,604948.687814
2007-09-19,616529.626931
2007-09-20,623959.420409
2007-09-21,636048.634502
2007-09-24,639629.326224
2007-09-25,641966.4796
2007-09-26,645063.237246
2007-09-27,646361.808577
2007-09-28,643776.890451
2007-10-01,644869.026744
2007-10-02,653250.64542
2007-10-03,655068.727369
2007-10-04,654216.060975
2007-10-05,656058.039721
2007-10-08,660465.214116
2007-10-09,673581.144925
2007-10-10,677297.641386
2007-10-11,681837.456506
2007-10-12,674039.039133
2007-10-15,687190.313672
2007-10-16,662453.340808
2007-10-17,677694.759945
2007-10-18,686606.93161
2007-10-19,723122.957018
2007-10-22,679244.685393
2007-10-23,716959.539712
2007-10-24,735055.904595
2007-10-25,744934.819728
2007-10-26,734990.050274
2007-10-29,742680.075635
2007-10-30,741935.082769
2007-10-31,781323.395653
2007-11-01,784853.649614
2007-11-02,794294.309123
2007-11-05,788985.189456
2007-11-06,820578.998114
2007-11-07,825584.578365
2007-11-08,811484.558546
2007-11-09,698447.247052
2007-11-12,659165.736157
2007-11-13,632980.31212
2007-11-14,686098.792542
2007-11-15,628859.701202
2007-11-16,618571.904496
2007-11-19,612990.185673
2007-11-20,626889.248457
2007-11-21,643318.393436
2007-11-23,708828.980379
2007-11-26,732972.893221
2007-11-27,719584.851451
2007-11-28,736166.097284
2007-11-29,759134.536074
2007-11-30,809076.616766
2007-12-03,768542.953282
2007-12-04,737463.47168
2007-12-05,778418.426813
2007-12-06,789942.195225
2007-12-07,817065.795785
2007-12-10,819551.667382
2007-12-11,826188.284186
2007-12-12,821829.400113
2007-12-13,795649.895712
2007-12-14,781969.129779
2007-12-17,783245.976363
2007-12-18,759133.542926
2007-12-19,758002.790369
