,0
2006-04-03,0.0
2006-08-16,-13.7203450612
2006-08-17,-77.5790231013
2006-08-18,-96.8313468739
2006-08-21,541.698778468
2006-08-22,704.988590984
2006-08-23,868.626630906
2006-08-24,1128.27128083
2006-08-25,1486.91196839
2006-08-28,1011.80864522
2006-08-29,-732.333702427
2006-08-30,-99.0790070474
2006-08-31,-844.663637292
2006-09-01,-748.700049741
2006-09-05,136.935090687
2006-09-06,-1671.55339595
2006-09-07,362.597673528
2006-09-08,2856.1704576
2006-09-11,2808.57982897
2006-09-12,-742.573160968
2006-09-13,-8882.48484957
2006-09-14,-23510.2423752
2006-09-15,-28299.1315349
2006-09-18,-32957.3012064
2006-09-19,-41360.3000201
2006-09-20,-28355.2748175
2006-09-21,-17397.9157665
2006-09-22,-24545.2899673
2006-09-25,-22533.4496514
2006-09-26,-17340.8482963
2006-09-27,-13159.512441
2006-09-28,-18448.8685903
2006-09-29,-10623.1641051
2006-10-02,-24654.2607908
2006-10-03,-33143.2630907
2006-10-04,-13290.1126288
2006-10-05,26473.299398
2006-10-06,8347.84402902
2006-10-09,68814.2102292
2006-10-10,101296.139017
2006-10-11,73170.2725512
2006-10-12,87623.8571586
2006-10-13,85115.9563194
2006-10-16,82255.1185383
2006-10-17,42910.4349175
2006-10-18,60281.9911858
2006-10-19,40132.426329
2006-10-20,281294.371404
2006-10-23,302931.467682
2006-10-24,398568.460636
2006-10-25,409266.356625
2006-10-26,461806.401285
2006-10-27,440099.626312
2006-10-30,374027.218735
2006-10-31,397747.842445
2006-11-01,402513.765627
2006-11-02,318910.731805
2006-11-03,357209.254384
2006-11-06,369016.481206
2006-11-07,397287.578503
2006-11-08,346017.797999
2006-11-09,393165.599153
2006-11-10,373831.938791
2006-11-13,384569.214646
2006-11-14,442352.166666
2006-11-15,560102.841852
2006-11-16,573679.53683
2006-11-17,567079.556348
2006-11-20,588567.033965
2006-11-21,580449.177435
2006-11-22,596541.378454
2006-11-24,566977.28023
2006-11-27,554742.674214
2006-11-28,535660.336754
2006-11-29,547444.48687
2006-11-30,503057.342349
2006-12-01,513785.158327
2006-12-04,488782.967426
2006-12-05,513985.900114
2006-12-06,513235.269779
2006-12-07,532286.777026
2006-12-08,498648.415583
2006-12-11,508281.883524
2006-12-12,499547.242332
2006-12-13,508832.972383
2006-12-14,491069.7631
2006-12-15,495173.042898
2006-12-18,493601.671166
2006-12-19,466102.783788
2006-12-20,477839.387723
2006-12-21,449302.674887
2006-12-22,415404.022058
2006-12-26,411641.561176
2006-12-27,426462.532617
2006-12-28,448173.726332
2006-12-29,428130.666143
2007-01-03,435588.2937
2007-01-04,438912.123606
2007-01-05,468380.940327
2007-01-08,478584.989641
2007-01-09,475820.954856
2007-01-10,474494.640455
2007-01-11,476118.8751
2007-01-12,477000.912343
2007-01-16,478442.529748
2007-01-17,476840.401027
2007-01-18,474253.363817
2007-01-19,473140.129719
2007-01-22,469987.008877
2007-01-23,462013.236872
2007-01-24,465284.388081
2007-01-25,486640.853149
2007-01-26,462907.012677
2007-01-29,474202.838055
2007-01-30,461205.365711
2007-01-31,467589.778067
2007-02-01,480332.515674
2007-02-02,450694.595092
2007-02-05,446547.772883
2007-02-06,452739.788971
2007-02-07,470312.29274
2007-02-08,459147.940064
2007-02-09,457485.930954
2007-02-12,456128.064044
2007-02-13,456349.08669
2007-02-14,456623.787977
2007-02-15,459044.814317
2007-02-16,458750.120759
2007-02-20,460540.836411
2007-02-21,460271.519801
2007-02-22,463783.964687
2007-02-23,465739.409356
2007-02-26,467468.257677
2007-02-27,483365.141966
2007-02-28,487071.782035
2007-03-01,493395.12541
2007-03-02,491918.005959
2007-03-05,495763.58491
2007-03-06,502595.126827
2007-03-07,515893.498187
2007-03-08,510393.626381
2007-03-09,508423.098788
2007-03-12,506735.548366
2007-03-13,507451.124517
2007-03-14,511525.305468
2007-03-15,508556.781411
2007-03-16,510185.637721
2007-03-19,510843.073296
2007-03-20,509743.498113
2007-03-21,509346.919216
2007-03-22,506069.272864
2007-03-23,503299.979677
2007-03-26,503795.769726
2007-03-27,502379.359123
2007-03-28,503323.792518
2007-03-29,502172.413012
2007-03-30,502932.372641
2007-04-02,508290.159044
2007-04-03,504137.881325
2007-04-04,498450.01346
2007-04-05,498843.662857
2007-04-09,499231.820974
2007-04-10,502021.682107
2007-04-11,502426.726108
2007-04-12,502050.632902
2007-04-13,502375.501698
2007-04-16,501655.610284
2007-04-17,505710.01463
2007-04-18,504979.518436
2007-04-19,506913.659421
2007-04-20,521432.159237
2007-04-23,519830.539614
2007-04-24,520110.992851
2007-04-25,520109.731587
2007-04-26,520093.423697
2007-04-27,521202.692356
2007-04-30,520913.76549
2007-05-01,513678.716745
2007-05-02,510848.45807
2007-05-03,510222.693291
2007-05-04,511043.226383
2007-05-07,511601.934018
2007-05-08,514536.910398
2007-05-09,515054.102301
2007-05-10,516795.740621
2007-05-11,510820.318536
2007-05-14,513562.629439
2007-05-15,512201.354835
2007-05-16,512142.321563
2007-05-17,508217.987033
2007-05-18,508458.374523
2007-05-21,508695.852727
2007-05-22,509285.277805
2007-05-23,508433.794217
2007-05-24,508565.028793
2007-05-25,511371.333653
2007-05-29,511715.529312
2007-05-30,511573.528327
2007-05-31,517225.458463
2007-06-01,517455.325397
2007-06-04,517164.923162
2007-06-05,516068.912471
2007-06-06,514842.768198
2007-06-07,514375.802787
2007-06-08,514853.176124
2007-06-11,515506.354333
2007-06-12,515705.637409
2007-06-13,515901.835143
2007-06-14,516071.920042
2007-06-15,516253.383426
2007-06-18,516346.735009
2007-06-19,518359.61504
2007-06-20,519127.279079
2007-06-21,517719.433845
2007-06-22,518875.842025
2007-06-25,521948.704048
2007-06-26,521521.286167
2007-06-27,522441.124329
2007-06-28,522940.715992
2007-06-29,523047.536118
2007-07-02,523260.334237
2007-07-03,522062.534393
2007-07-05,520298.82546
2007-07-06,517770.516557
2007-07-09,517564.96075
2007-07-10,517231.576153
2007-07-11,516849.151163
2007-07-12,517410.957458
2007-07-13,517216.265034
2007-07-16,517335.895772
2007-07-17,517317.787701
2007-07-18,516866.38524
2007-07-19,516856.847287
2007-07-20,508050.42335
2007-07-23,508276.853884
2007-07-24,510635.539826
2007-07-25,510637.676641
2007-07-26,509715.134153
2007-07-27,510285.619551
2007-07-30,514184.0652
2007-07-31,517215.413195
2007-08-01,516561.318591
2007-08-02,516536.778065
2007-08-03,516618.333949
2007-08-06,515419.383482
2007-08-07,515075.81017
2007-08-08,518118.216427
2007-08-09,517794.301022
2007-08-10,517131.582676
2007-08-13,515867.174623
2007-08-14,516824.3882
2007-08-15,518588.09085
2007-08-16,524446.822395
2007-08-17,524539.331024
2007-08-20,524149.636913
2007-08-21,524240.5091
2007-08-22,523983.647676
2007-08-23,525257.166928
2007-08-24,525418.74489
2007-08-27,525219.358676
2007-08-28,525955.892568
