,0
2009-05-01,0.0
2009-09-14,-3.32090336123
2009-09-15,-2.74038225437
2009-09-16,-9.05003022704
2009-09-17,-15.1969631941
2009-09-18,-16.169179436
2009-09-21,-22.5148314225
2009-09-22,-20.2356349333
2009-09-23,-17.1788027304
2009-09-24,-15.6257747936
2009-09-25,-11.2420163518
2009-09-28,-7.90853489682
2009-09-29,-10.4148613531
2009-09-30,-9.43632140031
2009-10-01,-10.8339518271
2009-10-02,-16.5204299903
2009-10-05,-16.0676307147
2009-10-06,-15.2470642571
2009-10-07,-14.8460406212
2009-10-08,-13.5896677734
2009-10-09,-12.1760020777
2009-10-12,-12.8662644506
2009-10-13,-12.5980814715
2009-10-14,-13.6231403847
2009-10-15,-11.2085142788
2009-10-16,-12.1895540126
2009-10-19,-11.3061874998
2009-10-20,-13.4106809568
2009-10-21,-13.6833056581
2009-10-22,-11.9510420439
2009-10-23,-13.6936920171
2009-10-26,-14.5979876173
2009-10-27,-17.5429510892
2009-10-28,-17.4476477714
2009-10-29,-17.8066162563
2009-10-30,-17.0160593135
2009-11-02,-17.2048809923
2009-11-03,-12.6755492773
2009-11-04,-12.1440138714
2009-11-05,-10.8394969254
2009-11-06,-12.4394693769
2009-11-09,-14.0422145154
2009-11-10,-15.8597451862
2009-11-11,-16.7486611778
2009-11-12,-15.3498798562
2009-11-13,-14.7872193123
2009-11-16,-16.422100056
2009-11-17,-18.5193354233
2009-11-18,-17.1838090774
2009-11-19,-18.0623926547
2009-11-20,-19.6602162641
2009-11-23,-19.3831379541
2009-11-24,-19.9172986323
2009-11-25,-18.4292331843
2009-11-27,-18.262787905
2009-11-30,-17.968766518
2009-12-01,-16.9554360079
2009-12-02,-17.2679354496
2009-12-03,-16.5128143931
2009-12-04,-16.0008325622
2009-12-07,-18.4839810379
2009-12-08,-15.1478989822
2009-12-09,-17.4487500955
2009-12-10,-17.4510045374
2009-12-11,-16.1231201363
2009-12-14,-16.5913245832
2009-12-15,-17.8776352863
2009-12-16,-17.9650587732
2009-12-17,-15.7066012555
2009-12-18,-19.5825612758
2009-12-21,-23.5121630342
2009-12-22,-25.7858992594
2009-12-23,-26.2851580082
2009-12-24,-25.3167714638
2009-12-28,-25.0523055899
2009-12-29,-24.2411224336
2009-12-30,-23.735180543
2009-12-31,-23.541881968
2010-01-04,-23.3630876959
2010-01-05,-23.2288218469
2010-01-06,-24.1331078915
2010-01-07,-22.8297863871
2010-01-08,-22.5644829924
2010-01-11,-21.853697729
2010-01-12,-21.9957447807
2010-01-13,-22.0961920894
2010-01-14,-22.3673858759
2010-01-15,-21.2639829774
2010-01-19,-21.066845947
2010-01-20,-20.8062776033
2010-01-21,-21.5861934576
2010-01-22,-21.0340439589
2010-01-25,-20.7152520807
2010-01-26,-20.1999434955
2010-01-27,-19.6521594197
2010-01-28,-19.6608610126
2010-01-29,-19.1072433458
2010-02-01,-19.552079588
2010-02-02,-19.7791081305
2010-02-03,-19.6214712903
2010-02-04,-20.3433836095
2010-02-05,-20.6605160119
2010-02-08,-20.1929687161
2010-02-09,-19.8634566706
2010-02-10,-17.7126381183
2010-02-11,-16.4756489887
2010-02-12,-16.1352514073
2010-02-16,-13.8166607002
2010-02-17,-15.2072925941
2010-02-18,-15.182285819
2010-02-19,-16.2849607309
2010-02-22,-13.0604417399
2010-02-23,-15.5207768173
2010-02-24,-16.1821718481
2010-02-25,-16.6997823589
2010-02-26,-14.1095648587
2010-03-01,-13.7029861586
2010-03-02,-13.5006966746
2010-03-03,-14.3516186508
